Index	Moves	Version	MoveID	CanUseMove	Type	Quality	Category	Power	Accuracy	PP	Priority	HitMin	HitMax	Inflict	InflictPercent	RawInflictCount	TurnMin	TurnMax	CritStage	Flinch	EffectSequence	Recoil	RawHealing	RawTarget	Stat1	Stat2	Stat3	Stat1Stage	Stat2Stage	Stat3Stage	Stat1Percent	Stat2Percent	Stat3Percent	GigantimaxPower	Flag_MakesContact	Flag_Charge	Flag_Recharge	Flag_Protect	Flag_Reflectable	Flag_Snatch	Flag_Mirror	Flag_Punch	Flag_Sound	Flag_Gravity	Flag_Defrost	Flag_DistanceTriple	Flag_Heal	Flag_IgnoreSubstitute	Flag_FailSkyBattle	Flag_AnimateAlly	Flag_Dance	Flag_18	InflictCount	Healing	Target
106	Harden	5	106	True	0	2	0	0	101	30	0	0	0	0	0	0	0	0	0	0	11	0	0	7	2	0	0	1	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
107	Minimize	5	107	True	0	2	0	0	101	10	0	0	0	0	0	0	0	0	0	0	108	0	0	7	7	0	0	2	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
108	Smokescreen	5	108	True	0	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
109	Confuse Ray	5	109	True	7	1	0	0	100	10	0	0	0	6	0	2	2	5	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
110	Withdraw	5	110	True	10	2	0	0	101	40	0	0	0	0	0	0	0	0	0	0	11	0	0	7	2	0	0	1	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
111	Defense Curl	5	111	True	0	2	0	0	101	40	0	0	0	0	0	0	0	0	0	0	156	0	0	7	2	0	0	1	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
112	Barrier	5	112	False	13	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	51	0	0	7	2	0	0	2	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
113	Light Screen	5	113	True	13	11	0	0	101	30	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	SideSelf
114	Haze	5	114	True	14	10	0	0	101	30	0	0	0	0	0	0	0	0	0	0	25	0	0	10	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	None	None	SideAll
115	Reflect	5	115	True	13	11	0	0	101	20	0	0	0	0	0	0	0	0	0	0	65	0	0	12	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	SideSelf
116	Focus Energy	5	116	True	0	13	0	0	101	30	0	0	0	0	0	0	0	0	0	0	47	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
117	Bide	5	117	False	0	0	1	1	101	10	1	0	0	0	0	0	0	0	0	0	26	0	0	7	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
118	Metronome	5	118	True	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	83	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	None	Self
119	Mirror Move	5	119	False	2	13	0	0	101	20	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	None	AnyExceptSelf
120	Self-Destruct	5	120	True	0	0	1	200	100	5	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	150	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacent
121	Egg Bomb	5	121	False	0	0	1	100	75	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
122	Lick	5	122	True	7	4	1	30	100	30	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
123	Smog	5	123	True	3	4	2	30	70	20	0	0	0	5	40	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	70	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
124	Sludge	5	124	True	3	4	2	65	100	20	0	0	0	5	30	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	85	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
125	Bone Club	5	125	False	4	0	1	65	85	20	0	0	0	0	0	0	0	0	0	10	31	0	0	0	0	0	0	0	0	0	0	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
126	Fire Blast	5	126	True	9	4	2	110	85	5	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	140	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
127	Waterfall	5	127	True	10	0	1	80	100	15	0	0	0	0	0	0	0	0	0	20	31	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
128	Clamp	5	128	False	10	4	1	35	85	15	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountNoSwitch	None	AnyExceptSelf
129	Swift	5	129	True	0	0	2	60	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	5	0	0	0	0	0	0	0	0	0	110	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
130	Skull Bash	5	130	True	0	0	1	130	100	10	0	0	0	0	100	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	140	True	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
131	Spike Cannon	5	131	False	0	0	1	20	100	15	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
132	Constrict	5	132	False	0	6	1	10	100	35	0	0	0	0	0	0	0	0	0	0	70	0	0	0	5	0	0	255	0	0	10	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
133	Amnesia	5	133	True	13	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	54	0	0	7	4	0	0	2	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
134	Kinesis	5	134	False	13	2	0	0	80	15	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
135	Soft-Boiled	5	135	True	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	32	0	50	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	None	50	Self
136	High Jump Kick	5	136	True	1	0	1	130	90	10	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	95	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
137	Glare	5	137	True	0	1	0	0	100	30	0	0	0	1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
138	Dream Eater	5	138	True	13	8	2	100	100	15	0	0	0	0	0	0	0	0	0	0	8	50	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	None	None	AnyExceptSelf
139	Poison Gas	5	139	True	3	1	0	0	90	40	0	0	0	5	0	1	0	0	0	0	66	0	0	5	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AllAdjacentOpponents
140	Barrage	5	140	False	0	0	1	15	85	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
141	Leech Life	5	141	True	6	8	1	80	100	10	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	None	None	AnyExceptSelf
142	Lovely Kiss	5	142	False	0	1	0	0	75	10	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
143	Sky Attack	5	143	True	2	0	1	140	90	5	0	0	0	0	0	0	0	0	1	30	75	0	0	0	0	0	0	0	0	0	0	0	0	140	False	True	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
144	Transform	5	144	True	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	None	None	AnyExceptSelf
145	Bubble	5	145	False	10	6	2	40	100	30	0	0	0	0	0	0	0	0	0	0	70	0	0	5	5	0	0	255	0	0	10	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
146	Dizzy Punch	5	146	False	0	4	1	70	100	10	0	0	0	6	20	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
147	Spore	5	147	True	11	1	0	0	100	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
148	Flash	5	148	False	0	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
149	Psywave	5	149	False	13	0	2	1	100	15	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
150	Splash	5	150	True	0	13	0	0	101	40	0	0	0	0	0	0	0	0	0	0	85	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	None	None	Self
151	Acid Armor	5	151	True	3	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	51	0	0	7	2	0	0	2	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
152	Crabhammer	5	152	True	10	0	1	100	90	10	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
153	Explosion	5	153	True	0	0	1	250	100	5	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	150	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacent
154	Fury Swipes	5	154	True	0	0	1	18	80	15	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
155	Bonemerang	5	155	False	4	0	1	50	90	10	0	2	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
156	Rest	5	156	True	13	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	37	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	None	None	Self
157	Rock Slide	5	157	True	5	0	1	75	90	10	0	0	0	0	0	0	0	0	0	30	31	0	0	5	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
158	Hyper Fang	5	158	False	0	0	1	80	90	15	0	0	0	0	0	0	0	0	0	10	31	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
159	Sharpen	5	159	False	0	2	0	0	101	30	0	0	0	0	0	0	0	0	0	0	10	0	0	7	1	0	0	1	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
160	Conversion	5	160	False	0	13	0	0	101	30	0	0	0	0	0	0	0	0	0	0	30	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
161	Tri Attack	5	161	True	0	4	2	80	100	10	0	0	0	65535	20	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
162	Super Fang	5	162	True	0	0	1	1	90	10	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
163	Slash	5	163	True	0	0	1	70	100	20	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
164	Substitute	5	164	True	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	79	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	None	None	Self
165	Struggle	5	165	True	0	0	1	50	101	1	0	0	0	0	0	0	0	0	0	0	254	0	231	9	0	0	0	0	0	0	0	0	0	1	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	231	RandomOpponent
166	Sketch	5	166	False	0	13	0	0	101	1	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	None	None	AnyExceptSelf
167	Triple Kick	5	167	True	1	0	1	10	90	10	0	3	3	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	80	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
168	Thief	5	168	True	16	0	1	60	100	25	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	None	None	AnyExceptSelf
169	Spider Web	5	169	False	6	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
170	Mind Reader	5	170	True	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
171	Nightmare	5	171	False	7	1	0	0	100	15	0	0	0	9	0	1	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
172	Flame Wheel	5	172	True	9	4	1	60	100	25	0	0	0	4	10	1	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
173	Snore	5	173	True	0	0	2	50	100	15	0	0	0	0	0	0	0	0	0	30	92	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	True	False	False	False	False	True	False	False	False	False	None	None	AnyExceptSelf
174	Curse	5	174	True	7	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	109	0	0	13	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	None	None	Counter
175	Flail	5	175	True	0	0	1	1	100	15	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
176	Conversion 2	5	176	False	0	13	0	0	101	30	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	None	None	AnyExceptSelf
177	Aeroblast	5	177	False	2	0	2	100	95	5	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
178	Cotton Spore	5	178	True	11	2	0	0	100	40	0	0	0	0	0	0	0	0	0	0	60	0	0	5	5	0	0	254	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
179	Reversal	5	179	True	1	0	1	1	100	15	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
180	Spite	5	180	True	7	13	0	0	100	10	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	True	None	None	AnyExceptSelf
181	Powder Snow	5	181	True	14	4	2	40	100	25	0	0	0	3	10	1	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AllAdjacentOpponents
182	Protect	5	182	True	0	13	0	0	101	10	4	0	0	0	0	0	0	0	0	0	111	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	None	Self
183	Mach Punch	5	183	True	1	0	1	40	100	30	1	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	70	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
184	Scary Face	5	184	True	0	2	0	0	100	10	0	0	0	0	0	0	0	0	0	0	60	0	0	0	5	0	0	254	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	True	False	True	None	None	AnyExceptSelf
185	Feint Attack	5	185	False	16	0	1	60	101	20	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
186	Sweet Kiss	5	186	True	17	1	0	0	75	10	0	0	0	6	0	2	2	5	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
187	Belly Drum	5	187	True	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	142	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
188	Sludge Bomb	5	188	True	3	4	2	90	100	10	0	0	0	5	30	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
189	Mud-Slap	5	189	True	4	6	2	20	100	10	0	0	0	0	0	0	0	0	0	0	73	0	0	0	6	0	0	255	0	0	100	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
190	Octazooka	5	190	True	10	6	2	65	85	10	0	0	0	0	0	0	0	0	0	0	73	0	0	0	6	0	0	255	0	0	50	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
191	Spikes	5	191	True	4	11	0	0	101	20	0	0	0	0	0	0	0	0	0	0	112	0	0	11	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	None	None	SideOpponent
192	Zap Cannon	5	192	True	12	4	2	120	50	5	0	0	0	1	100	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	140	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
193	Foresight	5	193	False	0	1	0	0	101	40	0	0	0	17	0	1	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	True	Permanent	None	AnyExceptSelf
194	Destiny Bond	5	194	True	7	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	98	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	None	None	Self
195	Perish Song	5	195	True	0	1	0	0	101	5	0	0	0	20	0	2	4	4	0	0	114	0	0	8	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True	TurnCountSwitch	None	All
196	Icy Wind	5	196	True	14	6	2	55	95	15	0	0	0	0	0	0	0	0	0	0	70	0	0	5	5	0	0	255	0	0	100	0	0	110	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
197	Detect	5	197	True	1	13	0	0	101	5	4	0	0	0	0	0	0	0	0	0	111	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	None	Self
198	Bone Rush	5	198	True	4	0	1	25	90	10	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
199	Lock-On	5	199	True	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
200	Outrage	5	200	True	15	0	1	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	RandomOpponent
201	Sandstorm	5	201	True	5	10	0	0	101	10	0	0	0	0	0	0	0	0	0	0	115	0	0	10	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	None	None	SideAll
202	Giga Drain	5	202	True	11	8	2	75	100	10	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	None	None	AnyExceptSelf
203	Endure	5	203	True	0	13	0	0	101	10	4	0	0	0	0	0	0	0	0	0	116	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	None	Self
204	Charm	5	204	True	17	2	0	0	100	20	0	0	0	0	0	0	0	0	0	0	58	0	0	0	1	0	0	254	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	True	False	True	None	None	AnyExceptSelf
205	Rollout	5	205	True	5	0	1	30	90	20	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
206	False Swipe	5	206	True	0	0	1	40	100	40	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
207	Swagger	5	207	True	0	5	0	0	85	15	0	0	0	6	0	2	2	5	0	0	118	0	0	0	1	0	0	2	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	True	False	True	TurnCountSwitch	None	AnyExceptSelf
208	Milk Drink	5	208	False	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	32	0	50	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	None	50	Self
209	Spark	5	209	True	12	4	1	65	100	20	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
210	Fury Cutter	5	210	True	6	0	1	40	95	20	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
211	Steel Wing	5	211	True	8	7	1	70	90	25	0	0	0	0	0	0	0	0	0	0	138	0	0	0	2	0	0	1	0	0	10	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
212	Mean Look	5	212	True	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
213	Attract	5	213	True	0	1	0	0	100	15	0	0	0	7	0	3	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	True	PermanentSwitch	None	AnyExceptSelf
214	Sleep Talk	5	214	True	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	97	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	None	Self
215	Heal Bell	5	215	True	0	13	0	0	101	5	0	0	0	0	0	0	0	0	0	0	102	0	0	6	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	True	False	False	True	False	True	False	False	False	True	None	None	AllAllies
